Year,Category,Prize,Prize Share,Laureate ID,LaureateType,FullName,Birth Date,Birth City,BirthCountry,Sex,OrganizationName,Organization City,OrganizationCountry,Death Date,Death City,Death Country,Age
1946,Peace,The Nobel Peace Prize 1946,1/2,506,Individual,Emily Greene Balch,1867-01-08,Jamaica PlainMA (Boston),United States,Female,,,,1961-01-09,CambridgeMA,United States,79
1946,Peace,The Nobel Peace Prize 1946,1/2,507,Individual,John Raleigh Mott,1865-05-25,Livingston ManorNY,United States,Male,,,,1955-01-31,,United States,81
1946,Physics,The Nobel Prize in Physics 1946,1/1,51,Individual,Percy Williams Bridgman,1882-04-21,CambridgeMA,United States,Male,Harvard University,CambridgeMA,United States,1961-08-20,RandolphNH,United States,64
1947,Chemistry,The Nobel Prize in Chemistry 1947,1/1,207,Individual,Sir Robert Robinson,1886-09-13,Ruffordnear Chesterfield,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1975-02-08,Great Missenden,United Kingdom,61
1947,Literature,The Nobel Prize in Literature 1947,1/1,618,Individual,André Paul Guillaume Gide,1869-11-22,Paris,France,Male,,,,1951-02-19,Paris,France,78
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,1/4,343,Individual,Carl Ferdinand Cori,1896-12-05,Prague,Czech,Male,Washington University,St. LouisMO,United States,1984-10-20,CambridgeMA,United States,51
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,1/4,344,Individual,Gerty Theresa Corinée Radnitz,1896-08-15,Prague,Czech,Female,Washington University,St. LouisMO,United States,1957-10-26,St. LouisMO,United States,51
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,1/2,345,Individual,Bernardo Alberto Houssay,1887-04-10,Buenos Aires,Argentina,Male,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,1971-09-21,Buenos Aires,Argentina,60
1947,Peace,The Nobel Peace Prize 1947,1/2,508,Organization,Friends Service Council (The Quakers),,,,,,,,,,,#VALUE!
1947,Peace,The Nobel Peace Prize 1947,1/2,509,Organization,American Friends Service Committee (The Quakers),,,,,,,,,,,#VALUE!
1947,Physics,The Nobel Prize in Physics 1947,1/1,52,Individual,Sir Edward Victor Appleton,1892-09-06,Bradford,United Kingdom,Male,Department of Scientific and Industrial Research,London,United Kingdom,1965-04-21,Edinburgh,Scotland,55
1948,Chemistry,The Nobel Prize in Chemistry 1948,1/1,208,Individual,Arne Wilhelm Kaurin Tiselius,1902-08-10,Stockholm,Sweden,Male,Uppsala University,Uppsala,Sweden,1971-10-29,Uppsala,Sweden,46
1948,Literature,The Nobel Prize in Literature 1948,1/1,619,Individual,Thomas Stearns Eliot,1888-09-26,St. LouisMO,United States,Male,,,,1965-01-04,London,United Kingdom,60
1948,Medicine,The Nobel Prize in Physiology or Medicine 1948,1/1,346,Individual,Paul Hermann Müller,1899-01-12,Olten,Switzerland,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,1965-10-12,Basel,Switzerland,49
1948,Physics,The Nobel Prize in Physics 1948,1/1,53,Individual,Patrick Maynard Stuart Blackett,1897-11-18,London,United Kingdom,Male,Victoria University,Manchester,United Kingdom,1974-07-13,London,United Kingdom,51
1949,Chemistry,The Nobel Prize in Chemistry 1949,1/1,209,Individual,William Francis Giauque,1895-05-12,Niagara Falls,Canada,Male,University of California,BerkeleyCA,United States,1982-03-28,BerkeleyCA,United States,54
1949,Literature,The Nobel Prize in Literature 1949,1/1,620,Individual,William Faulkner,1897-09-25,New AlbanyMS,United States,Male,,,,1962-07-06,ByhaliaMS,United States,52
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,1/2,347,Individual,Walter Rudolf Hess,1881-03-17,Frauenfeld,Switzerland,Male,University of Zurich,Zurich,Switzerland,1973-08-12,Ascona,Switzerland,68
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,1/2,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Male,University of Lisbon,Lisbon,Portugal,1955-12-13,Lisbon,Portugal,75
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,1/2,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Male,Neurological Institute,Lisbon,Portugal,1955-12-13,Lisbon,Portugal,75
1949,Peace,The Nobel Peace Prize 1949,1/1,510,Individual,Lord (John) Boyd Orr of Brechin,1880-09-23,Kilmaurs,Scotland,Male,,,,1971-06-25,Edzell,Scotland,69
1949,Physics,The Nobel Prize in Physics 1949,1/1,54,Individual,Hideki Yukawa,1907-01-23,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan,1981-09-08,Kyoto,Japan,42
1949,Physics,The Nobel Prize in Physics 1949,1/1,54,Individual,Hideki Yukawa,1907-01-23,Tokyo,Japan,Male,Columbia University,New YorkNY,United States,1981-09-08,Kyoto,Japan,42
1950,Chemistry,The Nobel Prize in Chemistry 1950,1/2,210,Individual,Otto Paul Hermann Diels,1876-01-23,Hamburg,Germany,Male,Kiel University,Kiel,Germany,1954-03-07,Kiel,West Germany,74
1950,Chemistry,The Nobel Prize in Chemistry 1950,1/2,211,Individual,Kurt Alder,1902-07-10,Königshütte (Chorzów),Poland,Male,Cologne University,Cologne,Germany,1958-06-20,Cologne,West Germany,48
1950,Literature,The Nobel Prize in Literature 1950,1/1,621,Individual,Earl (Bertrand Arthur William) Russell,1872-05-18,Trelleck,United Kingdom,Male,,,,1970-02-02,Penrhyndeudraeth,United Kingdom,78
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,1/3,349,Individual,Edward Calvin Kendall,1886-03-08,South NorwalkCT,United States,Male,Mayo Clinic,RochesterMN,United States,1972-05-04,PrincetonNJ,United States,64
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,1/3,350,Individual,Tadeus Reichstein,1897-07-20,Wloclawek,Poland,Male,Basel University,Basel,Switzerland,1996-08-01,Basel,Switzerland,53
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,1/3,351,Individual,Philip Showalter Hench,1896-02-28,PittsburghPA,United States,Male,Mayo Clinic,RochesterMN,United States,1965-03-30,Ocho Rios,Jamaica,54
1950,Peace,The Nobel Peace Prize 1950,1/1,511,Individual,Ralph Bunche,1904-08-07,DetroitMI,United States,Male,Harvard University,CambridgeMA,United States,1971-12-09,New YorkNY,United States,46
1950,Physics,The Nobel Prize in Physics 1950,1/1,55,Individual,Cecil Frank Powell,1903-12-05,Tonbridge,United Kingdom,Male,Bristol University,Bristol,United Kingdom,1969-08-09,,Italy,47
1951,Chemistry,The Nobel Prize in Chemistry 1951,1/2,212,Individual,Edwin Mattison McMillan,1907-09-18,Redondo BeachCA,United States,Male,University of California,BerkeleyCA,United States,1991-09-07,El CerritoCA,United States,44
1951,Chemistry,The Nobel Prize in Chemistry 1951,1/2,213,Individual,Glenn Theodore Seaborg,1912-04-19,IshpemingMI,United States,Male,University of California,BerkeleyCA,United States,1999-02-25,LafayetteCA,United States,39
1951,Literature,The Nobel Prize in Literature 1951,1/1,622,Individual,Pär Fabian Lagerkvist,1891-05-23,Växjö,Sweden,Male,,,,1974-07-11,Stockholm,Sweden,60
1951,Medicine,The Nobel Prize in Physiology or Medicine 1951,1/1,352,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,Male,Laboratories of the Division of Medicine and Public HealthRockefeller Foundation,New YorkNY,United States,1972-08-11,New HavenCT,United States,52
1951,Peace,The Nobel Peace Prize 1951,1/1,512,Individual,Léon Jouhaux,1879-07-01,Paris,France,Male,,,,1954-04-28,Paris,France,72
1951,Physics,The Nobel Prize in Physics 1951,1/2,56,Individual,Sir John Douglas Cockcroft,1897-05-27,Todmorden,United Kingdom,Male,Atomic Energy Research Establishment,HarwellBerkshire,United Kingdom,1967-09-18,Cambridge,United Kingdom,54
1951,Physics,The Nobel Prize in Physics 1951,1/2,57,Individual,Ernest Thomas Sinton Walton,1903-10-06,Dungarvan,Ireland,Male,Trinity College,Dublin,Ireland,1995-06-25,Belfast,Northern Ireland,48
1952,Chemistry,The Nobel Prize in Chemistry 1952,1/2,214,Individual,Archer John Porter Martin,1910-03-01,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,2002-07-28,Llangarron,United Kingdom,42
1952,Chemistry,The Nobel Prize in Chemistry 1952,1/2,215,Individual,Richard Laurence Millington Synge,1914-10-28,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1994-08-18,Norwich,United Kingdom,38
1952,Literature,The Nobel Prize in Literature 1952,1/1,623,Individual,François Mauriac,1885-10-11,Bordeaux,France,Male,,,,1970-09-01,Paris,France,67
1952,Medicine,The Nobel Prize in Physiology or Medicine 1952,1/1,353,Individual,Selman Abraham Waksman,1888-07-22,Priluka (Nova Pryluka),Ukraine,Male,Rutgers University,New BrunswickNJ,United States,1973-08-16,HyannisMA,United States,64
1952,Peace,The Nobel Peace Prize 1952,1/1,513,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,France,Male,,,,1965-09-04,Lambaréné,Gabon,77
1952,Physics,The Nobel Prize in Physics 1952,1/2,58,Individual,Felix Bloch,1905-10-23,Zurich,Switzerland,Male,Stanford University,StanfordCA,United States,1983-09-10,Zurich,Switzerland,47
1952,Physics,The Nobel Prize in Physics 1952,1/2,59,Individual,Edward Mills Purcell,1912-08-30,TaylorvilleIL,United States,Male,Harvard University,CambridgeMA,United States,1997-03-07,CambridgeMA,United States,40
1953,Chemistry,The Nobel Prize in Chemistry 1953,1/1,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,University of Freiburg,Breisgau,Germany,1965-09-08,Freiburg im Breisgau,West Germany,72
1953,Chemistry,The Nobel Prize in Chemistry 1953,1/1,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry)Freiburg,Breisgau,Germany,1965-09-08,Freiburg im Breisgau,West Germany,72
1953,Literature,The Nobel Prize in Literature 1953,1/1,624,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,Male,,,,1965-01-24,London,United Kingdom,79
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,1/2,354,Individual,Hans Adolf Krebs,1900-08-25,Hildesheim,Germany,Male,Sheffield University,Sheffield,United Kingdom,1981-11-22,Oxford,United Kingdom,53
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,1/2,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Russia,Male,Harvard Medical School,BostonMA,United States,1986-07-24,PoughkeepsieNY,United States,54
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,1/2,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Russia,Male,Massachusetts General Hospital,BostonMA,United States,1986-07-24,PoughkeepsieNY,United States,54
1953,Peace,The Nobel Peace Prize 1953,1/1,514,Individual,George Catlett Marshall,1880-12-31,UniontownPA,United States,Male,,,,1959-10-16,WashingtonDC,United States,73
1953,Physics,The Nobel Prize in Physics 1953,1/1,60,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands,1966-03-10,Groningen,Netherlands,65
1954,Chemistry,The Nobel Prize in Chemistry 1954,1/1,217,Individual,Linus Carl Pauling,1901-02-28,PortlandOR,United States,Male,California Institute of Technology (Caltech),PasadenaCA,United States,1994-08-19,Big SurCA,United States,53
1954,Literature,The Nobel Prize in Literature 1954,1/1,625,Individual,Ernest Miller Hemingway,1899-07-21,Oak ParkIL,United States,Male,,,,1961-07-02,KetchumID,United States,55
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,1/3,356,Individual,John Franklin Enders,1897-02-10,West HartfordCT,United States,Male,Harvard Medical School,BostonMA,United States,1985-09-08,WaterfordCT,United States,57
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,1/3,356,Individual,John Franklin Enders,1897-02-10,West HartfordCT,United States,Male,Research Division of Infectious DiseasesChildren's Medical Center,BostonMA,United States,1985-09-08,WaterfordCT,United States,57
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,1/3,357,Individual,Thomas Huckle Weller,1915-06-15,Ann ArborMI,United States,Male,Research Division of Infectious DiseasesChildren's Medical Center,BostonMA,United States,2008-08-23,NeedhamMA,United States,39
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,1/3,358,Individual,Frederick Chapman Robbins,1916-08-25,AuburnAL,United States,Male,Western Reserve University,ClevelandOH,United States,2003-08-04,ClevelandOH,United States,38
1954,Peace,The Nobel Peace Prize 1954,1/1,515,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,,,,,,#VALUE!
1954,Physics,The Nobel Prize in Physics 1954,1/2,61,Individual,Max Born,1882-12-11,Breslau (Wroclaw),Poland,Male,Edinburgh University,Edinburgh,United Kingdom,1970-01-05,Göttingen,West Germany,72
1954,Physics,The Nobel Prize in Physics 1954,1/2,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,University of Heidelberg,Heidelberg,Germany,1957-02-08,Heidelberg,West Germany,63
1954,Physics,The Nobel Prize in Physics 1954,1/2,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,1957-02-08,Heidelberg,West Germany,63
1955,Chemistry,The Nobel Prize in Chemistry 1955,1/1,218,Individual,Vincent du Vigneaud,1901-05-18,ChicagoIL,United States,Male,Cornell University,IthacaNY,United States,1978-12-11,White PlainsNY,United States,54
1955,Literature,The Nobel Prize in Literature 1955,1/1,626,Individual,Halldór Kiljan Laxness,1902-04-23,Reykjavik,Iceland,Male,,,,1998-02-08,Reykjavik,Iceland,53
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,1/1,359,Individual,Axel Hugo Theodor Theorell,1903-07-06,Linköping,Sweden,Male,Karolinska InstitutetNobel Medical Institute,Stockholm,Sweden,1982-08-15,Stockholm,Sweden,52
1955,Physics,The Nobel Prize in Physics 1955,1/2,63,Individual,Willis Eugene Lamb,1913-07-12,Los AngelesCA,United States,Male,Stanford University,StanfordCA,United States,2008-05-15,TucsonAZ,United States,42
1955,Physics,The Nobel Prize in Physics 1955,1/2,64,Individual,Polykarp Kusch,1911-01-26,Blankenburg,Germany,Male,Columbia University,New YorkNY,United States,1993-03-20,DallasTX,United States,44
1956,Chemistry,The Nobel Prize in Chemistry 1956,1/2,219,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1967-10-09,London,United Kingdom,59
1956,Chemistry,The Nobel Prize in Chemistry 1956,1/2,220,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Russia,1986-09-25,Moscow,Russia,60
1956,Literature,The Nobel Prize in Literature 1956,1/1,627,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Male,,,,1958-05-29,San Juan,Puerto Rico,75
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,1/3,360,Individual,André Frédéric Cournand,1895-09-24,Paris,France,Male,Columbia University DivisionCardio-Pulmonary LaboratoryBellevue Hospital,New YorkNY,United States,1988-02-19,Great BarringtonMA,United States,61
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,1/3,361,Individual,Werner Forssmann,1904-08-29,Berlin,Germany,Male,Mainz University,Mainz,Germany,1979-06-01,Schopfheim,West Germany,52
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,1/3,361,Individual,Werner Forssmann,1904-08-29,Berlin,Germany,Male,,Bad Kreuznach,Germany,1979-06-01,Schopfheim,West Germany,52
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,1/3,362,Individual,Dickinson W. Richards,1895-10-30,OrangeNJ,United States,Male,Columbia University,New YorkNY,United States,1973-02-23,LakevilleCT,United States,61
1956,Physics,The Nobel Prize in Physics 1956,1/3,65,Individual,William Bradford Shockley,1910-02-13,London,United Kingdom,Male,Semiconductor Laboratory of Beckman InstrumentsInc.,Mountain ViewCA,United States,1989-08-12,Palo AltoCA,United States,46
1956,Physics,The Nobel Prize in Physics 1956,1/3,66,Individual,John Bardeen,1908-05-23,MadisonWI,United States,Male,University of Illinois,UrbanaIL,United States,1991-01-30,BostonMA,United States,48
1956,Physics,The Nobel Prize in Physics 1956,1/3,67,Individual,Walter Houser Brattain,1902-02-10,Amoy,China,Male,Bell Telephone Laboratories,Murray HillNJ,United States,1987-10-13,SeattleWA,United States,54
1957,Chemistry,The Nobel Prize in Chemistry 1957,1/1,221,Individual,Lord (Alexander R.) Todd,1907-10-02,Glasgow,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,1997-01-10,Cambridge,United Kingdom,50
1957,Literature,The Nobel Prize in Literature 1957,1/1,628,Individual,Albert Camus,1913-11-07,Mondovi,Algeria,Male,,,,1960-01-04,Sens,France,44
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,1/1,363,Individual,Daniel Bovet,1907-03-23,Neuchâtel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,1992-04-08,Rome,Italy,50
1957,Peace,The Nobel Peace Prize 1957,1/1,516,Individual,Lester Bowles Pearson,1897-04-23,Toronto,Canada,Male,,,,1972-12-27,Ottawa,Canada,60
1957,Physics,The Nobel Prize in Physics 1957,1/2,68,Individual,Chen Ning Yang,1922-09-22,HofeiAnhwei,China,Male,Institute for Advanced Study,PrincetonNJ,United States,,,,35
1957,Physics,The Nobel Prize in Physics 1957,1/2,69,Individual,Tsung-Dao (T.D.) Lee,1926-11-24,Shanghai,China,Male,Columbia University,New YorkNY,United States,,,,31
1958,Chemistry,The Nobel Prize in Chemistry 1958,1/1,222,Individual,Frederick Sanger,1918-08-13,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,2013-11-19,Cambridge,United Kingdom,40
1958,Literature,The Nobel Prize in Literature 1958,1/1,629,Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,Male,,,,1960-05-30,Peredelkino,Russia,68
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,1/4,364,Individual,George Wells Beadle,1903-10-22,WahooNE,United States,Male,California Institute of Technology (Caltech),PasadenaCA,United States,1989-06-09,PomonaCA,United States,55
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,1/4,365,Individual,Edward Lawrie Tatum,1909-12-14,BoulderCO,United States,Male,Rockefeller Institute for Medical Research,New YorkNY,United States,1975-11-05,New YorkNY,United States,49
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,1/2,366,Individual,Joshua Lederberg,1925-05-23,MontclairNJ,United States,Male,University of Wisconsin,MadisonWI,United States,2008-02-02,New YorkNY,United States,33
1958,Peace,The Nobel Peace Prize 1958,1/1,517,Individual,Georges Pire,1910-02-10,Dinant,Belgium,Male,,,,1969-01-30,Leuven,Belgium,48
1958,Physics,The Nobel Prize in Physics 1958,1/3,70,Individual,Pavel Alekseyevich Cherenkov,1904-07-28,Novaya Chigla,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Russia,1990-01-06,,Russia,54
1958,Physics,The Nobel Prize in Physics 1958,1/3,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,University of Moscow,Moscow,Russia,1971-04-12,Moscow,Russia,63
1958,Physics,The Nobel Prize in Physics 1958,1/3,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Russia,1971-04-12,Moscow,Russia,63
1958,Physics,The Nobel Prize in Physics 1958,1/3,721,Individual,Il´ja Mikhailovich Frank,1908-10-23,Leningrad (Saint Petersburg),Russia,Male,University of Moscow,Moscow,Russia,1990-06-22,Moscow,Russia,50
1958,Physics,The Nobel Prize in Physics 1958,1/3,721,Individual,Il´ja Mikhailovich Frank,1908-10-23,Leningrad (Saint Petersburg),Russia,Male,P.N. Lebedev Physical Institute,Moscow,Russia,1990-06-22,Moscow,Russia,50
1959,Chemistry,The Nobel Prize in Chemistry 1959,1/1,223,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Czech,Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,1967-03-27,Prague,Czechoslovakia,69
1959,Literature,The Nobel Prize in Literature 1959,1/1,630,Individual,Salvatore Quasimodo,1901-08-20,Modica,Italy,Male,,,,1968-06-14,Naples,Italy,58
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,1/2,367,Individual,Severo Ochoa,1905-09-24,Luarca,Spain,Male,New York UniversityCollege of Medicine,New YorkNY,United States,1993-11-01,Madrid,Spain,54
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,1/2,368,Individual,Arthur Kornberg,1918-03-03,BrooklynNY,United States,Male,Stanford University,StanfordCA,United States,2007-10-26,StanfordCA,United States,41
1959,Peace,The Nobel Peace Prize 1959,1/1,518,Individual,Philip J. Noel-Baker,1889-11-01,London,United Kingdom,Male,,,,1982-10-08,London,United Kingdom,70
1959,Physics,The Nobel Prize in Physics 1959,1/2,72,Individual,Emilio Gino Segrè,1905-02-01,Tivoli,Italy,Male,University of California,BerkeleyCA,United States,1989-04-22,LafayetteCA,United States,54
1959,Physics,The Nobel Prize in Physics 1959,1/2,73,Individual,Owen Chamberlain,1920-07-10,San FranciscoCA,United States,Male,University of California,BerkeleyCA,United States,2006-02-28,BerkeleyCA,United States,39
1960,Chemistry,The Nobel Prize in Chemistry 1960,1/1,224,Individual,Willard Frank Libby,1908-12-17,Grand ValleyCO,United States,Male,University of California,Los AngelesCA,United States,1980-09-08,Los AngelesCA,United States,52
1960,Literature,The Nobel Prize in Literature 1960,1/1,631,Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Myanmar,Male,,,,1975-09-20,Presqu'île-de-Giens,France,73
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,1/2,369,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,1985-08-31,Melbourne,Australia,61
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,1/2,370,Individual,Peter Brian Medawar,1915-02-28,Rio de Janeiro,Brazil,Male,University College,London,United Kingdom,1987-10-02,London,United Kingdom,45
1960,Peace,The Nobel Peace Prize 1960,1/1,519,Individual,Albert John Lutuli,1898-00-00,Bulawayo,Zimbabwe,Male,,,,1967-07-21,Stanger,South Africa,62
1960,Physics,The Nobel Prize in Physics 1960,1/1,74,Individual,Donald Arthur Glaser,1926-09-21,ClevelandOH,United States,Male,University of California,BerkeleyCA,United States,2013-02-28,BerkeleyCA,United States,34
1961,Chemistry,The Nobel Prize in Chemistry 1961,1/1,225,Individual,Melvin Calvin,1911-04-08,St. PaulMN,United States,Male,University of California,BerkeleyCA,United States,1997-01-08,BerkeleyCA,United States,50
1961,Literature,The Nobel Prize in Literature 1961,1/1,633,Individual,Ivo Andric,1892-10-10,Dolac,Bosnia,Male,,,,1975-03-13,Belgrade,Yugoslavia (Serbia),69
1961,Medicine,The Nobel Prize in Physiology or Medicine 1961,1/1,371,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,Male,Harvard University,CambridgeMA,United States,1972-06-13,HonoluluHI,United States,62
1961,Peace,The Nobel Peace Prize 1961,1/1,520,Individual,Dag Hjalmar Agne Carl Hammarskjöld,1905-07-29,Jönköping,Sweden,Male,,,,1961-09-18,Ndola,Northern Rhodesia (Zambia),56
1961,Physics,The Nobel Prize in Physics 1961,1/2,75,Individual,Robert Hofstadter,1915-02-05,New YorkNY,United States,Male,Stanford University,StanfordCA,United States,1990-11-17,StanfordCA,United States,46
1961,Physics,The Nobel Prize in Physics 1961,1/2,76,Individual,Rudolf Ludwig Mössbauer,1929-01-31,Munich,Germany,Male,Technical University,Munich,Germany,2011-09-14,,,32
1961,Physics,The Nobel Prize in Physics 1961,1/2,76,Individual,Rudolf Ludwig Mössbauer,1929-01-31,Munich,Germany,Male,California Institute of Technology (Caltech),PasadenaCA,United States,2011-09-14,,,32
1962,Chemistry,The Nobel Prize in Chemistry 1962,1/2,226,Individual,Max Ferdinand Perutz,1914-05-19,Vienna,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002-02-06,Cambridge,United Kingdom,48
1962,Chemistry,The Nobel Prize in Chemistry 1962,1/2,227,Individual,John Cowdery Kendrew,1917-03-24,Oxford,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1997-08-23,Cambridge,United Kingdom,45
1962,Literature,The Nobel Prize in Literature 1962,1/1,634,Individual,John Steinbeck,1902-02-27,SalinasCA,United States,Male,,,,1968-12-20,New YorkNY,United States,60
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,1/3,372,Individual,Francis Harry Compton Crick,1916-06-08,Northampton,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2004-07-28,San DiegoCA,United States,46
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,1/3,373,Individual,James Dewey Watson,1928-04-06,ChicagoIL,United States,Male,Harvard University,CambridgeMA,United States,,,,34
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,1/3,374,Individual,Maurice Hugh Frederick Wilkins,1916-12-15,Pongaroa,New Zealand,Male,London University,London,United Kingdom,2004-10-05,London,United Kingdom,46
1962,Peace,The Nobel Peace Prize 1962,1/1,217,Individual,Linus Carl Pauling,1901-02-28,PortlandOR,United States,Male,California Institute of Technology (Caltech),PasadenaCA,United States,1994-08-19,Big SurCA,United States,61
1962,Physics,The Nobel Prize in Physics 1962,1/1,77,Individual,Lev Davidovich Landau,1908-01-22,Baku,Russian Empire (Azerbaijan),Male,Academy of Sciences,Moscow,Russia,1968-04-01,Moscow,Russia,54
1963,Chemistry,The Nobel Prize in Chemistry 1963,1/2,228,Individual,Karl Ziegler,1898-11-26,Helsa,Germany,Male,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Germany,1973-08-12,Mülheim,West Germany,65
1963,Chemistry,The Nobel Prize in Chemistry 1963,1/2,229,Individual,Giulio Natta,1903-02-26,Imperia,Italy,Male,Institute of Technology,Milan,Italy,1979-05-02,Bergamo,Italy,60
1963,Literature,The Nobel Prize in Literature 1963,1/1,635,Individual,Giorgos Seferis,1900-03-13,Smyrna (Izmir),Turkey,Male,,,,1971-09-20,Athens,Greece,63
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,1/3,375,Individual,Sir John Carew Eccles,1903-01-27,Melbourne,Australia,Male,Australian National University,Canberra,Australia,1997-05-02,Contra,Switzerland,60
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,1/3,376,Individual,Alan Lloyd Hodgkin,1914-02-05,Banbury,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1998-12-20,Cambridge,United Kingdom,49
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,1/3,377,Individual,Andrew Fielding Huxley,1917-11-22,Hampstead,United Kingdom,Male,University College,London,United Kingdom,2012-05-30,Grantchester,United Kingdom,46
1963,Peace,The Nobel Peace Prize 1963,1/2,482,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,,,,,,#VALUE!
1963,Peace,The Nobel Peace Prize 1963,1/2,523,Organization,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),,,,,,,,,,,#VALUE!
